,Elo,OppElo
0,2758,2731
1,2758,2765
2,2758,2768
3,2758,2726
4,2758,2712
5,2758,2644
6,2758,2872
7,2758,2822
8,2758,2683
9,2758,2747
10,2758,2723
11,2758,2660
12,2758,2758
13,2757,2633
14,2753,2688
15,2753,2749
16,2753,2792
17,2753,2782
18,2753,2683
19,2753,2778
20,2753,2738
21,2753,2653
22,2753,2776
23,2753,2776
24,2753,2738
25,2753,2749
26,2753,2812
27,2753,2792
28,2753,2683
29,2753,2688
30,2753,2782
31,2753,2778
32,2753,2776
33,2753,2738
34,2753,2749
35,2753,2812
36,2753,2792
37,2753,2683
38,2753,2688
39,2753,2782
40,2753,2778
41,2757,2665
42,2757,2458
43,2757,2617
44,2757,2648
45,2751,2656
46,2751,2656
47,2751,2656
48,2751,2763
49,2751,2763
50,2751,2697
51,2751,2697
52,2751,2743
53,2751,2743
54,2751,2767
55,2751,2767
56,2751,2767
57,2751,2792
58,2751,2792
59,2751,2579
60,2751,2579
61,2751,2656
62,2751,2763
63,2751,2697
64,2751,2743
65,2751,2767
66,2751,2792
67,2751,2579
68,2751,2656
69,2751,2763
70,2751,2697
71,2751,2743
72,2751,2767
73,2751,2792
74,2751,2579
75,1829,1292
76,1829,2138
77,1829,1364
78,1829,2203
79,1829,2057
80,1829,2142
81,1829,2067
82,1829,2160
83,1829,2293
84,2751,2696
85,2751,2776
86,2751,2671
87,2751,2644
88,2751,2765
89,2751,2750
90,2751,2518
91,2751,2786
92,2751,2776
93,2751,2750
94,2751,2671
95,2751,2518
96,2751,2644
97,2751,2765
98,2751,2776
99,2751,2786
100,2751,2776
101,2751,2696
102,2751,2750
103,2751,2671
104,2751,2518
105,2751,2644
106,2751,2765
107,2751,2776
108,2751,2786
109,2751,2776
110,2751,2696
111,2751,2654
112,2751,2776
113,2751,2730
114,2751,2753
115,2751,2761
116,2751,2744
117,2751,2864
118,2751,2759
119,2751,2750
120,2751,2750
121,2751,2730
122,2751,2744
123,2751,2744
124,2751,2776
125,2751,2776
126,2751,2864
127,2751,2864
128,2751,2761
129,2751,2761
130,2751,2753
131,2751,2753
132,1948,2346
133,1948,2406
134,2751,2759
135,2751,2654
136,2751,2654
137,2756,2675
138,2756,2675
139,2756,2675
140,2756,2675
141,2756,2668
142,2756,2668
143,2756,2668
144,2756,2668
145,2756,2668
146,2756,2668
147,2756,2696
148,2756,2599
149,2756,2648
150,2756,2648
151,2756,2599
152,2756,2696
