,Mean_CP
0,12.458333333333334
1,13.085714285714285
2,22.333333333333332
3,32.589285714285715
4,25.083333333333332
5,42.833333333333336
6,17.674418604651162
7,18.5
8,15.658536585365853
9,24.24137931034483
10,25.36
11,22.157894736842106
12,21.310344827586206
13,25.177419354838708
14,11.658227848101266
15,33.266666666666666
16,31.916666666666668
17,60.333333333333336
18,20.16216216216216
19,18.060606060606062
20,34.3728813559322
21,20.44736842105263
22,11.766666666666667
23,11.085714285714285
24,31.724137931034484
25,12.823529411764707
26,21.11111111111111
27,26.472727272727273
28,28.842105263157894
29,35.945945945945944
30,24.41509433962264
31,30.545454545454547
32,10.8
33,9.344827586206897
34,18.372093023255815
35,10.133333333333333
36,18.625
37,25.733333333333334
38,35.67741935483871
39,78.5
40,24.612903225806452
41,48.0
42,108.68181818181819
43,21.4375
44,17.346153846153847
45,13.9
46,22.17910447761194
47,41.925
48,18.15
49,35.42372881355932
50,21.59375
51,9.454545454545455
52,27.575
53,18.833333333333332
54,27.55128205128205
55,18.80263157894737
56,20.5
57,12.885714285714286
58,9.548387096774194
59,16.523809523809526
60,10.5
61,30.902439024390244
62,19.35135135135135
63,47.24444444444445
64,31.105263157894736
65,12.767441860465116
66,6.766666666666667
67,23.613636363636363
68,17.833333333333332
69,11.976190476190476
70,16.88372093023256
